date,holiday_name,is_holiday
2025-01-01,New Year's Day,True
2025-04-21,Easter Monday,True
2025-05-01,Labour Day,True
2025-05-29,Ascension Day,True
2025-06-09,Whit Monday,True
2025-07-21,Belgian National Day,True
2025-08-15,Assumption of Mary,True
2025-11-01,All Saints' Day,True
2025-11-11,Armistice Day,True
2025-12-25,Christmas Day,True
2026-01-01,New Year's Day,True
2026-04-06,Easter Monday,True
2026-05-01,Labour Day,True
2026-05-14,Ascension Day,True
2026-05-25,Whit Monday,True
2026-07-21,Belgian National Day,True
2026-08-15,Assumption of Mary,True
2026-11-01,All Saints' Day,True
2026-11-11,Armistice Day,True
2026-12-25,Christmas Day,True
