date,temperature_c,precipitation_mm,rain_mm,snowfall_cm,cloud_cover_pct,wind_speed_kmh,sunshine_duration_s
2025-11-21 00:00:00,1.5,0.0,0.0,0.0,100,9.9,0.0
2025-11-21 01:00:00,1.7,0.0,0.0,0.0,96,9.4,0.0
2025-11-21 02:00:00,0.6,0.0,0.0,0.0,100,5.7,0.0
2025-11-21 03:00:00,0.1,0.0,0.0,0.0,98,3.7,0.0
2025-11-21 04:00:00,-0.5,0.0,0.0,0.0,98,3.1,0.0
2025-11-21 05:00:00,-0.6,0.0,0.0,0.0,100,0.8,0.0
2025-11-21 06:00:00,-1.6,0.0,0.0,0.0,100,3.7,0.0
2025-11-21 07:00:00,0.3,0.0,0.0,0.0,99,9.3,0.0
2025-11-21 08:00:00,0.1,0.0,0.0,0.0,64,10.4,0.0
2025-11-21 09:00:00,0.2,0.0,0.0,0.0,100,12.2,6.59
2025-11-21 10:00:00,0.8,0.0,0.0,0.0,100,13.4,3600.0
2025-11-21 11:00:00,1.3,0.0,0.0,0.0,100,11.0,672.91
2025-11-21 12:00:00,2.4,0.0,0.0,0.0,98,9.6,3600.0
2025-11-21 13:00:00,2.6,0.0,0.0,0.0,100,9.2,3600.0
2025-11-21 14:00:00,3.1,0.0,0.0,0.0,95,7.9,0.0
2025-11-21 15:00:00,3.4,0.0,0.0,0.0,43,5.7,3600.0
2025-11-21 16:00:00,2.8,0.0,0.0,0.0,9,1.7,3600.0
2025-11-21 17:00:00,0.9,0.0,0.0,0.0,2,0.6,455.76
2025-11-21 18:00:00,-0.4,0.0,0.0,0.0,1,2.6,0.0
2025-11-21 19:00:00,-0.5,0.0,0.0,0.0,0,3.2,0.0
2025-11-21 20:00:00,-1.2,0.0,0.0,0.0,0,2.8,0.0
2025-11-21 21:00:00,-1.9,0.0,0.0,0.0,91,4.6,0.0
2025-11-21 22:00:00,-2.2,0.0,0.0,0.0,92,5.4,0.0
2025-11-21 23:00:00,-2.0,0.0,0.0,0.0,98,5.9,0.0
2025-11-22 00:00:00,-2.0,0.0,0.0,0.0,100,6.1,0.0
2025-11-22 01:00:00,-2.0,0.0,0.0,0.0,100,8.4,0.0
2025-11-22 02:00:00,-2.0,0.0,0.0,0.0,31,8.8,0.0
2025-11-22 03:00:00,-2.0,0.0,0.0,0.0,14,9.6,0.0
2025-11-22 04:00:00,-1.8,0.0,0.0,0.0,66,10.7,0.0
2025-11-22 05:00:00,-1.9,0.0,0.0,0.0,82,11.4,0.0
2025-11-22 06:00:00,-2.2,0.0,0.0,0.0,100,12.0,0.0
2025-11-22 07:00:00,-2.2,0.0,0.0,0.0,100,13.4,0.0
2025-11-22 08:00:00,-2.2,0.0,0.0,0.0,98,13.5,0.0
2025-11-22 09:00:00,-2.0,0.0,0.0,0.0,77,14.5,0.0
2025-11-22 10:00:00,-1.1,0.0,0.0,0.0,50,17.6,3600.0
2025-11-22 11:00:00,0.2,0.0,0.0,0.0,99,15.2,3600.0
2025-11-22 12:00:00,1.2,0.0,0.0,0.0,99,16.6,3600.0
2025-11-22 13:00:00,2.0,0.0,0.0,0.0,95,16.9,3600.0
2025-11-22 14:00:00,2.7,0.0,0.0,0.0,97,18.2,3600.0
2025-11-22 15:00:00,2.3,0.0,0.0,0.0,19,17.0,750.22
2025-11-22 16:00:00,1.7,0.0,0.0,0.0,8,20.2,3600.0
2025-11-22 17:00:00,0.6,0.0,0.0,0.0,100,19.6,500.7
2025-11-22 18:00:00,0.2,0.0,0.0,0.0,100,20.2,0.0
2025-11-22 19:00:00,0.3,0.0,0.0,0.0,100,20.7,0.0
2025-11-22 20:00:00,0.0,0.0,0.0,0.0,100,21.1,0.0
2025-11-22 21:00:00,-0.2,0.0,0.0,0.0,99,21.1,0.0
2025-11-22 22:00:00,-0.3,0.0,0.0,0.0,100,22.0,0.0
2025-11-22 23:00:00,-0.2,0.0,0.0,0.0,100,21.1,0.0
2025-11-23 00:00:00,-0.2,0.5,0.1,0.28,100,22.3,0.0
2025-11-23 01:00:00,-0.2,0.6,0.1,0.35,100,22.1,0.0
2025-11-23 02:00:00,0.1,0.3,0.0,0.21,100,22.9,0.0
2025-11-23 03:00:00,0.3,0.3,0.0,0.21,100,22.9,0.0
2025-11-23 04:00:00,0.6,0.1,0.0,0.07,100,22.4,0.0
2025-11-23 05:00:00,0.8,0.1,0.0,0.07,100,22.9,0.0
2025-11-23 06:00:00,1.1,0.0,0.0,0.0,100,22.9,0.0
2025-11-23 07:00:00,0.9,0.0,0.0,0.0,100,23.3,0.0
2025-11-23 08:00:00,1.2,0.0,0.0,0.0,100,23.1,0.0
2025-11-23 09:00:00,1.5,0.0,0.0,0.0,100,22.9,0.0
2025-11-23 10:00:00,2.1,0.0,0.0,0.0,100,22.2,0.0
2025-11-23 11:00:00,2.7,0.0,0.0,0.0,100,25.2,0.0
2025-11-23 12:00:00,2.2,0.5,0.5,0.0,100,29.3,0.0
2025-11-23 13:00:00,2.3,0.1,0.1,0.0,100,26.8,0.0
2025-11-23 14:00:00,3.2,0.2,0.2,0.0,100,23.8,0.0
2025-11-23 15:00:00,3.8,0.3,0.3,0.0,100,23.3,0.0
2025-11-23 16:00:00,4.8,0.0,0.0,0.0,98,21.6,0.0
2025-11-23 17:00:00,5.0,0.0,0.0,0.0,59,18.9,0.0
2025-11-23 18:00:00,5.0,0.0,0.0,0.0,5,15.9,0.0
2025-11-23 19:00:00,5.1,0.0,0.0,0.0,8,14.7,0.0
2025-11-23 20:00:00,4.5,0.0,0.0,0.0,1,12.6,0.0
2025-11-23 21:00:00,4.0,0.0,0.0,0.0,5,12.0,0.0
2025-11-23 22:00:00,3.7,0.0,0.0,0.0,37,13.1,0.0
2025-11-23 23:00:00,3.5,0.0,0.0,0.0,100,14.2,0.0
2025-11-24 00:00:00,3.5,0.0,0.0,0.0,100,15.5,0.0
2025-11-24 01:00:00,4.1,0.0,0.0,0.0,100,14.0,0.0
2025-11-24 02:00:00,4.1,0.0,0.0,0.0,100,14.2,0.0
2025-11-24 03:00:00,4.0,0.0,0.0,0.0,100,14.3,0.0
2025-11-24 04:00:00,4.1,0.0,0.0,0.0,96,15.9,0.0
2025-11-24 05:00:00,4.5,0.0,0.0,0.0,57,14.9,0.0
2025-11-24 06:00:00,4.2,0.0,0.0,0.0,39,17.8,0.0
2025-11-24 07:00:00,4.8,0.0,0.0,0.0,100,15.9,0.0
2025-11-24 08:00:00,4.8,0.1,0.1,0.0,100,15.9,0.0
2025-11-24 09:00:00,4.9,0.9,0.9,0.0,100,13.2,0.0
2025-11-24 10:00:00,5.8,0.1,0.1,0.0,91,15.3,0.0
2025-11-24 11:00:00,6.7,0.1,0.1,0.0,66,16.0,399.89
2025-11-24 12:00:00,8.0,0.0,0.0,0.0,100,21.5,3600.0
2025-11-24 13:00:00,7.7,0.1,0.1,0.0,100,15.4,1813.91
2025-11-24 14:00:00,6.8,0.2,0.2,0.0,100,16.8,0.0
2025-11-24 15:00:00,5.7,1.0,1.0,0.0,100,14.8,0.0
2025-11-24 16:00:00,5.2,0.2,0.2,0.0,100,13.4,0.0
2025-11-24 17:00:00,5.4,0.8,0.8,0.0,100,11.2,0.0
2025-11-24 18:00:00,5.6,6.0,6.0,0.0,100,7.4,0.0
2025-11-24 19:00:00,5.7,0.8,0.8,0.0,97,5.8,0.0
